DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY
6/26/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council conclusions,EU leaders set out four specific steps to be taken by Russia and the separatists for de-escalation. They also signed the Association Agreement with Ukraine.
7/16/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,EU leaders regretted that Russia and the separatists had not taken the requested steps set out in the June European Council conclusions. They agreed to target Russia with a new set of 6 restrictive measures including restriction on economic cooperation with Russia.
7/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Ukraine crisis: EU broadens remit of sanctions,The Council widened the legal basis for EU restrictive measures making it possible to target entities which materially or financially support actions against Ukraine.
7/22/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Council takes action following the downing of flight MH17,"EU ministers discussed the situation in Ukraine following the downing of flight MH17. They asked to finalise preparatory work for economic sanctions in four sectors, paving the way for their adoption."
7/25/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further EU sanctions over situation in Eastern Ukraine,The Council adopted reinforced EU sanctions. The Council's Committee of Permanent Representatives (Coreper) also discussed the preparatory work on further targeted measures.
7/29/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Adoption of additional restrictive measures against Russia,"Following the conclusions of the European Council meeting of 16 July, the Council adopted a package of targeted 'economic sanctions'. These measures concern exchanges with Russia in specific economic sectors."
8/30/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,"Following the dramatic escalation of the situation, with the presence and actions of Russian armed forces on the Ukrainian territory, the European Council asked for the preparation of new economic sanctions against Russia."
9/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further economic sanctions on Russia,"A new package of restrictive measures targeting exchanges with Russia in specific economic sectors entered into force, reinforcing the measures adopted on 31 July."
11/17/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,New sanctions under consideration,Ukraine was the main focus of the Foreign Affairs Council. EU ministers asked the European External Action Service (EEAS) and the European Commission to present a proposal on further sanctions against separatists.
11/28/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 17 November, an asset freeze and an EU travel ban were imposed to 13 persons and five entities involved in action against Ukraine's territorial integrity. This decision brought the total of persons subject to EU sanctions over Ukraine's territorial integrity to 132 and the number of entities under EU asset freeze to 28."
12/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council focused on the eastern neighbourhood,"EU leaders discussed the situation on the eastern borders of Europe, support to Ukraine and relations with Russia. They welcomed the strengthening of the sanctions on investment, services and trade with Crimea and Sevastopol."
1/29/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of existing individual restrictive measures,"The Council strongly condemned the indiscriminate shelling of the residential areas, especially in Mariupol, and the escalation of fighting in the Donetsk and Luhansk regions of Ukraine. In response to those events, the Council agreed to extend the existing individual restrictive measures, targeting 132 persons and 28 entities for threatening or undermining Ukraine's sovereignty and territorial integrity, until September 2015. It also called for a proposal on additional designations for decision at the Foreign Affairs Council on 9 February 2015."
2/9/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Additional listings on hold,"The Council unanimously adopted additional listings concerning separatists in Eastern Ukraine and their supporters in Russia. These consist of an asset freeze and a travel ban on 19 persons and 9 entities involved in action against Ukraine's territorial integrity. To give space for diplomatic efforts and the Minsk talks, the Council put the entry into force of the measures on hold until Monday 16 February 2015."
2/12/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU leaders welcomed the results of the Minsk agreement,"At an informal meeting of heads of state or government, EU leaders gave cautious support to the Minsk agreement. They indicated that they will not hesitate to take the necessary steps if the agreement is not implemented and the ceasefire is not respected."
2/16/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 9 February, an asset freeze and an EU travel ban were imposed to 19 persons and 9 entities involved in action against Ukraine's territorial integrity."
3/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council adjusted and extended EU restrictive measures focused on the freezing and recovery of misappropriated Ukrainian state funds.
3/13/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2015 the application of EU restrictive measures targeting action against Ukraine's sovereignty, territorial integrity and independence. 150 persons and 37 entities are subject to asset freeze and travel bans under these sanctions."
3/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council,"Leaders decided to align the existing sanctions regime to the implementation of the Minsk agreements. Economic sanctions will remain enforced until the end of 2015 when the last point of the peace plan is to be implemented: Ukraine regaining control over its borders in the east. EU leaders also stressed the need to challenge Russia's ongoing campaign of public disinformation about the conflict in Ukraine. The EU High Representative, Federica Mogherini, was invited to prepare an action plan on strategic communication for the June European Council. EU leaders agreed on the objectives of the Eastern Partnership summit, which then took place in Riga on 21-22 May 2015. The European Council repeated its commitment to the eastern partners and set as a priority to strengthen the democratic institutions to the east."
6/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for three persons covered by measures applying until 6 June 2015.
6/19/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of restrictions in response to the illegal annexation of Crimea and Sevastopol,"The Council extended until 23 June 2016 the EU restrictive measures in response to the illegal annexation of Crimea and Sevastopol. These measures include prohibitions on import of products, investment, tourism services and exports of certain goods and technologies."
6/22/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended EU economic sanctions until 31 January 2016. These sanctions were introduced in response to Russia's destabilising role in Eastern Ukraine. They target certain exchanges with Russia in the financial, energy and defence sectors and dual-use goods."
9/14/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 March 2016 the application of EU restrictive measures targeting action against Ukraine's territorial integrity, sovereignty and independence. 149 persons and 37 entities are subject to asset freeze and travel bans under these sanctions."
10/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for one person covered by measures applying until 6 October 2015.
12/21/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged EU economic sanctions against Russia until 31 July 2016. In March 2015, EU leaders decided to align the existing sanctions regime to the complete implementation of the Minsk agreements, which was foreseen for the end of December 2015. Since the Minsk agreements will not be fully implemented by 31 December 2015, the duration of the sanctions has been prolonged whilst the Council continues its assessment of progress in implementation."
"January 16, 2016",Iran,https://www.presidency.ucsb.edu/documents/executive-order-13716-revocation-executive-orders-13574-13590-13622-and-13645-with-respect,"Revocation of Executive Orders 13574, 13590, 13622, and 13645 With Respect to Iran, Amendment of Executive Order 13628 With Respect to Iran, and Provision of Implementation Authorities for Aspects of Certain Statutory Sanctions Outside the Scope of U.S. Commitments Under the Joint Comprehensive Plan of Action of July 14, 2015","Revocation of Executive Orders. The following Executive Orders are revoked:

(a) Executive Order 13574 of May 23, 2011 (Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Sanctions Act of 1996, as Amended); (b) Executive Order 13590 of November 20, 2011 (Authorizing the Imposition of Certain Sanctions With Respect to the Provision of Goods, Services, Technology, or Support for Iran's Energy and Petrochemical Sectors);

(c) Executive Order 13622 of July 30, 2012 (Authorizing Additional Sanctions With Respect to Iran); and

(d) Executive Order 13645 of June 3, 2013 (Authorizing the Implementation of Certain Sanctions Set Forth in the Iran Freedom and Counter-Proliferation Act of 2012 and Additional Sanctions With Respect To Iran)."
3/4/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended by one year asset freezes against 16 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.
3/10/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2016 EU restrictive measures against 146 people and 37 companies, in view of the continuing undermining or threatening of the territorial integrity, sovereignty and independence of Ukraine."
6/17/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2017. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.
7/1/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 January 2017. In July 2016, having assessed the implementation of the Minsk agreements, the Council decided to renew the sanctions for a further six months."
11/9/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds six members of the State Duma from Crimea to sanctions list,"The EU added six members of the Russian Federation State Duma elected from the illegally annexed Autonomous Republic of Crimea and the city of Sevastopol to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence."
12/19/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended the application of economic sanctions targeting specific sectors of the Russian economy, until 31 July 2017. This was decided following the European Council meeting on 15 December 2016, where the leaders assessed the progress in implementing the Minsk agreements and paved the way for a further extension of sanctions."
3/3/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2018 the asset freezes against 15 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.
3/13/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2017, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 37 entities."
6/19/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2018. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.
6/28/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 22-23 June 2017 on the implementation of the Minsk Agreements.
8/4/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 3 persons and 3 companies to sanctions list,"The EU has added 3 Russian nationals and 3 companies involved in the transfer of gas turbines to Crimea to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence."
9/14/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 March 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The restrictive measures now apply to 149 persons and 38 entities."
11/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,"""Governor of Sevastopol"" added to sanctions list over actions against Ukraine's territorial integrity","The Council added Dmitry Vladimirovich Ovsyannikov, ""Governor of Sevastopol"", to the list of those submitted to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. The restrictive measures now apply to 150 persons and 38 entities."
12/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 14 December 2017 on the state of implementation of the Minsk agreements.
3/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2019 the asset freezes against 13 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended. This decision was based on the annual review of the measures.
3/12/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 38 entities."
5/14/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds five people involved in the organisation of Russian presidential elections to sanctions list,"The EU has added five people to the sanction list for their involvement in the organisation of Russian presidential elections in illegally annexed Crimea and Sevastopol. Thereby these individuals actively supported and implemented policies that undermine the territorial integrity, sovereignty and independence of Ukraine."
6/18/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2019.
7/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 28-29 June 2018 on the state of implementation of the Minsk agreements.
7/31/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 6 entities involved in the construction of the Kerch Bridge to sanctions list,"The EU added six entities to the sanctions list because of their involvement in the construction of the Kerch Bridge, connecting Russia to the illegally annexed Crimean peninsula. Through their actions they supported the consolidation of Russia's control over the illegally annexed Crimean peninsula, which in turn further undermines the territorial integrity, sovereignty and independence of Ukraine."
