DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY,TEXT,IMPACT SCORE,IMPACT LEVEL
3/27/1995,Iran,https://ir.usembassy.gov/president-donald-j-trump-restores-maximum-pressure-on-iran/,Imposing Maximum Pressure on the Government of the Islamic Republic of Iran,"Establishes a comprehensive maximum pressure campaign to deny Iran nuclear weapons, neutralize terrorism, restrict oil exports, enforce sanctions, and counter Iran’s regional influence.","Imposing Maximum Pressure on the Government of the Islamic Republic of Iran: Establishes a comprehensive maximum pressure campaign to deny Iran nuclear weapons, neutralize terrorism, restrict oil exports, enforce sanctions, and counter Iran’s regional influence.",5,High
3/28/1995,Iran,https://www.state.gov/sanctioning-networks-channeling-revenue-to-irans-military,Sanctioning Networks Channeling Revenue to Iran’s Military,"Sanctions networks facilitating illicit Iranian oil shipments and revenue flows that fund Iran’s military, terrorist proxies, and destabilizing regional activities.","Sanctioning Networks Channeling Revenue to Iran’s Military: Sanctions networks facilitating illicit Iranian oil shipments and revenue flows that fund Iran’s military, terrorist proxies, and destabilizing regional activities.",5,High
3/29/1995,Iran,https://www.state.gov/sanctioning-entities-that-have-traded-in-irans-petroleum/,Sanctioning Entities That Have Traded in Iran’s Petroleum,"Blocks property and transactions of entities and individuals involved in trading Iranian petroleum, including majority-owned affiliates, under SDN enforcement rules.","Sanctioning Entities That Have Traded in Iran’s Petroleum: Blocks property and transactions of entities and individuals involved in trading Iranian petroleum, including majority-owned affiliates, under SDN enforcement rules.",2,Medium
3/30/1995,Iran,https://www.state.gov/sanctions-on-irans-oil-trade-to-reimpose-maximum-pressure/,Sanctions on Iran’s Oil Trade to Reimpose Maximum Pressure,"Sanctions multiple entities, vessels, and facilitators involved in Iran’s petroleum trade to disrupt illicit oil revenues funding terrorism and destabilizing activities.","Sanctions on Iran’s Oil Trade to Reimpose Maximum Pressure: Sanctions multiple entities, vessels, and facilitators involved in Iran’s petroleum trade to disrupt illicit oil revenues funding terrorism and destabilizing activities.",5,High
3/31/1995,Iran,https://www.state.gov/new-sanctions-increase-pressure-on-irans-uav-and-ballistic-missile-programs/,New Sanctions Increase Pressure on Iran’s UAV and Ballistic Missile Programs,Sanctions entities involved in procuring components for Iran’s UAV and ballistic missile programs under counter-proliferation authorities.,New Sanctions Increase Pressure on Iran’s UAV and Ballistic Missile Programs: Sanctions entities involved in procuring components for Iran’s UAV and ballistic missile programs under counter-proliferation authorities.,1,Low
4/1/1995,Iran,https://www.state.gov/sanctioning-service-providers-that-facilitate-irans-crude-oil-trade/,Sanctioning Service Providers That Facilitate Iran’s Crude Oil Trade,"Sanctions maritime service providers, vessels, and operators facilitating ship-to-ship transfers and concealment of Iranian crude oil exports.","Sanctioning Service Providers That Facilitate Iran’s Crude Oil Trade: Sanctions maritime service providers, vessels, and operators facilitating ship-to-ship transfers and concealment of Iranian crude oil exports.",5,High
4/2/1995,Iran,https://www.state.gov/sanctions-on-irans-oil-minister-and-shadow-fleet-to-exert-maximum-pressure/,Sanctions on Iran’s Oil Minister and Shadow Fleet,"Sanctions Iran’s Oil Minister, shipping entities, and shadow fleet vessels supporting Iran’s illicit oil exports, especially to China.","Sanctions on Iran’s Oil Minister and Shadow Fleet: Sanctions Iran’s Oil Minister, shipping entities, and shadow fleet vessels supporting Iran’s illicit oil exports, especially to China.",5,High
4/3/1995,Iran,https://www.state.gov/sanctioning-entities-purchasing-and-transporting-iranian-oil-to-further-impose-maximum-pressure-on-iran/,Sanctioning Entities Purchasing and Transporting Iranian Oil,"Sanctions Chinese refineries, terminal operators, vessels, and facilitators involved in purchasing, refining, or transporting Iranian crude oil.","Sanctioning Entities Purchasing and Transporting Iranian Oil: Sanctions Chinese refineries, terminal operators, vessels, and facilitators involved in purchasing, refining, or transporting Iranian crude oil.",5,High
4/4/1995,Iran,https://www.state.gov/sanctioning-additional-entities-that-have-traded-in-irans-petroleum/,Sanctioning Additional Entities That Have Traded in Iran’s Petroleum,Blocks assets of persons providing surveillance technology or material support facilitating human rights abuses by the Iranian government.,Sanctioning Additional Entities That Have Traded in Iran’s Petroleum: Blocks assets of persons providing surveillance technology or material support facilitating human rights abuses by the Iranian government.,3,Medium
4/5/1995,Iran,https://www.state.gov/sanctions-on-irans-oil-network-to-further-impose-maximum-pressure-on-iran/,Sanctions on Iran’s Oil Network,Blocks property and prohibits transactions involving entities and individuals engaged in Iran’s illicit oil trading networks.,Sanctions on Iran’s Oil Network: Blocks property and prohibits transactions involving entities and individuals engaged in Iran’s illicit oil trading networks.,5,High
4/6/1995,Iran,https://www.state.gov/sanctions-on-irans-oil-network-to-further-impose-maximum-pressure-on-iran-2/,Sanctions on Iran’s Oil Network (Additional),"Sanctions terminal operators, vessel managers, and shipping companies across multiple countries involved in Iran’s oil export and sanctions evasion networks.","Sanctions on Iran’s Oil Network (Additional): Sanctions terminal operators, vessel managers, and shipping companies across multiple countries involved in Iran’s oil export and sanctions evasion networks.",5,High
4/7/1995,Iran,https://www.state.gov/sanctioning-a-china-based-teapot-refinery-to-pressure-iran-further/,Sanctioning a China-Based “Teapot” Refinery,Sanctions a Chinese independent refinery and associated vessels for purchasing large volumes of Iranian crude oil.,Sanctioning a China-Based “Teapot” Refinery: Sanctions a Chinese independent refinery and associated vessels for purchasing large volumes of Iranian crude oil.,5,High
4/8/1995,Iran,https://www.state.gov/sanctioning-a-liquified-petroleum-gas-shipping-network-to-further-pressure-iran/,Sanctioning a Liquified Petroleum Gas Shipping Network,"Sanctions an Iranian LPG shipping network exporting petroleum products to fund Iran’s nuclear, missile, and terrorist activities.","Sanctioning a Liquified Petroleum Gas Shipping Network: Sanctions an Iranian LPG shipping network exporting petroleum products to fund Iran’s nuclear, missile, and terrorist activities.",5,High
4/9/1995,Iran,https://www.state.gov/maximum-pressure-sanctions-on-illicit-traders-of-iranian-petroleum-and-petrochemical-products/,Maximum Pressure Sanctions on Illicit Traders of Iranian Petroleum and Petrochemical Products,"Sanctions entities, vessels, and facilitators engaged in illicit trade of Iranian petroleum and petrochemical products generating revenue for the regime.","Maximum Pressure Sanctions on Illicit Traders of Iranian Petroleum and Petrochemical Products: Sanctions entities, vessels, and facilitators engaged in illicit trade of Iranian petroleum and petrochemical products generating revenue for the regime.",1,Low
4/10/1995,Iran,https://www.state.gov/maximum-pressure-sanctions-on-illicit-traders-of-iranian-oil-and-petrochemical-products/,Maximum Pressure Sanctions on Illicit Traders of Iranian Oil and Petrochemical Products,"Sanctions sellers, buyers, shipping firms, and inspection companies involved in Iran’s illicit oil and petrochemical exports.","Maximum Pressure Sanctions on Illicit Traders of Iranian Oil and Petrochemical Products: Sanctions sellers, buyers, shipping firms, and inspection companies involved in Iran’s illicit oil and petrochemical exports.",5,High
4/11/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/05/third-china-based-teapot-refinery-designated-for-violating-iran-sanctions/,Third China-Based “Teapot” Refinery Designated,Sanctions a third Chinese refinery and associated networks for facilitating Iranian oil purchases and transport via the shadow fleet.,Third China-Based “Teapot” Refinery Designated: Sanctions a third Chinese refinery and associated networks for facilitating Iranian oil purchases and transport via the shadow fleet.,5,High
4/12/1995,Iran,https://home.treasury.gov/news/press-releases/sb0159,Treasury Sanctions Iranian Shadow Banking Network,"Sanctions over 30 individuals and entities laundering billions through Iran’s shadow banking network to fund oil sales, weapons programs, and terrorism.","Treasury Sanctions Iranian Shadow Banking Network: Sanctions over 30 individuals and entities laundering billions through Iran’s shadow banking network to fund oil sales, weapons programs, and terrorism.",5,High
4/13/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/06/sanctioning-irans-shadow-banking-network-of-money-launderers-and-illicit-oil-traders/,Sanctioning Iran’s Shadow Banking Network,Sanctions over 35 individuals and entities involved in laundering illicit Iranian oil revenue and evading financial sanctions.,Sanctioning Iran’s Shadow Banking Network: Sanctions over 35 individuals and entities involved in laundering illicit Iranian oil revenue and evading financial sanctions.,5,High
4/14/1995,Iran,https://home.treasury.gov/news/press-releases/sb0188,Treasury Targets Diverse Networks Facilitating Iranian Oil Trade,"Sanctions oil smuggling networks, vessels, and companies transporting Iranian oil, including those benefiting Iran’s military and terrorist groups.","Treasury Targets Diverse Networks Facilitating Iranian Oil Trade: Sanctions oil smuggling networks, vessels, and companies transporting Iranian oil, including those benefiting Iran’s military and terrorist groups.",5,High
4/15/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/07/sanctions-on-oil-smugglers-exporting-iranian-oil/,Sanctions on Oil Smugglers Exporting Iranian Oil,Sanctions oil smuggling networks and vessels disguising Iranian oil exports to fund terrorism and destabilizing activities.,Sanctions on Oil Smugglers Exporting Iranian Oil: Sanctions oil smuggling networks and vessels disguising Iranian oil exports to fund terrorism and destabilizing activities.,5,High
4/16/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/07/sanctioning-facilitators-of-irans-petroleum-and-petrochemical-trade/,Sanctioning Facilitators of Iran’s Petroleum and Petrochemical Trade,"Sanctions over 100 entities, vessels, and individuals involved in exporting Iranian petroleum and petrochemical products worldwide.","Sanctioning Facilitators of Iran’s Petroleum and Petrochemical Trade: Sanctions over 100 entities, vessels, and individuals involved in exporting Iranian petroleum and petrochemical products worldwide.",2,Medium
4/17/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/08/sanctioning-facilitators-of-iran-sanctions-circumvention-and-political-oppression/,Sanctioning Facilitators of Iran Sanctions Circumvention and Political Oppression,Sanctions financial and IT entities facilitating Iran’s sanctions evasion and domestic political repression.,Sanctioning Facilitators of Iran Sanctions Circumvention and Political Oppression: Sanctions financial and IT entities facilitating Iran’s sanctions evasion and domestic political repression.,1,Low
4/18/1995,Iran,tate.gov/releases/office-of-the-spokesperson/2025/08/sanctions-on-irans-oil-network-to-further-impose-maximum-pressure-on-iran/,Sanctions on Iran’s Oil Network (China-Based Terminals),Sanctions Chinese terminal operators facilitating large-scale imports of Iranian crude oil transported by shadow fleet vessels.,Sanctions on Iran’s Oil Network (China-Based Terminals): Sanctions Chinese terminal operators facilitating large-scale imports of Iranian crude oil transported by shadow fleet vessels.,5,High
4/19/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/08/sanctioning-facilitators-of-irans-illicit-oil-sales/,Sanctioning Facilitators of Iran’s Illicit Oil Sales,"Sanctions terminal operators, shipping networks, and individuals enabling Iran’s illicit oil trade and revenue generation.","Sanctioning Facilitators of Iran’s Illicit Oil Sales: Sanctions terminal operators, shipping networks, and individuals enabling Iran’s illicit oil trade and revenue generation.",5,High
4/20/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/09/sanctioning-smugglers-of-iranian-oil-through-iraq/,Sanctioning Smugglers of Iranian Oil through Iraq,Sanctions smuggling networks disguising Iranian oil as Iraqi oil to finance Iran’s destabilizing regional activities.,Sanctioning Smugglers of Iranian Oil through Iraq: Sanctions smuggling networks disguising Iranian oil as Iraqi oil to finance Iran’s destabilizing regional activities.,5,High
4/21/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/09/sanctioning-sudanese-armed-group-leader-and-islamist-militia-with-links-to-iran/,Sanctioning Sudanese Armed Group Leader and Islamist Militia with Links to Iran,"Sanctions Sudanese Islamist actors linked to Iran for undermining peace, destabilizing Sudan, and supporting Iranian regional influence.","Sanctioning Sudanese Armed Group Leader and Islamist Militia with Links to Iran: Sanctions Sudanese Islamist actors linked to Iran for undermining peace, destabilizing Sudan, and supporting Iranian regional influence.",1,Low
4/22/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/10/sanctioning-entities-trading-in-iranian-petroleum-and-petrochemicals/,Sanctioning Entities Trading in Iranian Petroleum and Petrochemicals,"Sanctions approximately 40 individuals, entities, vessels, and facilitators involved in Iran’s petroleum and petrochemical trade.","Sanctioning Entities Trading in Iranian Petroleum and Petrochemicals: Sanctions approximately 40 individuals, entities, vessels, and facilitators involved in Iran’s petroleum and petrochemical trade.",2,Medium
4/23/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/10/sweeping-sanctions-on-irans-energy-exports/,Sweeping Sanctions on Iran’s Energy Exports,"Sanctions dozens of entities, vessels, terminals, and refineries involved in Iranian oil and LPG exports under maximum pressure measures.","Sweeping Sanctions on Iran’s Energy Exports: Sanctions dozens of entities, vessels, terminals, and refineries involved in Iranian oil and LPG exports under maximum pressure measures.",5,High
4/24/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/11/sanctioning-entities-that-have-traded-in-irans-petroleum-2/,Sanctioning Entities That Have Traded in Iran’s Petroleum,"Sanctions maritime service providers, traders, airlines, and shipping networks involved in transporting Iranian oil and arms.","Sanctioning Entities That Have Traded in Iran’s Petroleum: Sanctions maritime service providers, traders, airlines, and shipping networks involved in transporting Iranian oil and arms.",5,High
4/25/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2025/12/cracking-down-on-irans-shadow-fleet/,Cracking Down on Iran’s Shadow Fleet,Sanctions 29 shadow fleet vessels and associated companies involved in covert Iranian oil exports.,Cracking Down on Iran’s Shadow Fleet: Sanctions 29 shadow fleet vessels and associated companies involved in covert Iranian oil exports.,5,High
4/26/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2026/01/u-s-sanctions-to-support-the-courageous-people-of-iran/,U.S. Sanctions to Support the Courageous People of Iran,Blocks assets of individuals and entities enabling surveillance technology and human rights abuses by the Iranian government.,U.S. Sanctions to Support the Courageous People of Iran: Blocks assets of individuals and entities enabling surveillance technology and human rights abuses by the Iranian government.,3,Medium
4/27/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2026/01/sanctions-on-illicit-petroleum-traders-to-support-the-people-of-iran/,Sanctions on Illicit Petroleum Traders to Support the People of Iran,Sanctions entities and vessels exporting Iranian petroleum products that finance regime repression and destabilizing activities.,Sanctions on Illicit Petroleum Traders to Support the People of Iran: Sanctions entities and vessels exporting Iranian petroleum products that finance regime repression and destabilizing activities.,1,Low
4/28/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2026/01/sanctioning-iranian-government-officials-for-suppression-of-peaceful-protest/,Sanctioning Iranian Government Officials for Suppression of Peaceful Protest,"Sanctions Iranian officials and an investor responsible for violent repression of protesters, corruption, and human rights abuses.","Sanctioning Iranian Government Officials for Suppression of Peaceful Protest: Sanctions Iranian officials and an investor responsible for violent repression of protesters, corruption, and human rights abuses.",3,Medium
4/29/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2026/02/sanctions-to-combat-illicit-traders-of-iranian-oil-and-the-shadow-fleet/,Sanctions to Combat Illicit Traders of Iranian Oil and the Shadow Fleet,"Sanctions traders, individuals, and vessels involved in transporting Iranian petroleum and petrochemical products.","Sanctions to Combat Illicit Traders of Iranian Oil and the Shadow Fleet: Sanctions traders, individuals, and vessels involved in transporting Iranian petroleum and petrochemical products.",5,High
4/30/1995,Iran,https://www.state.gov/releases/office-of-the-spokesperson/2026/02/sanctions-to-combat-illicit-traders-of-iranian-oil-and-the-shadow-fleet-2/,Sanctions to Combat Illicit Traders of Iranian Oil and the Shadow Fleet (Press Statement),"Sanctions entities, individuals, and vessels engaged in illicit Iranian oil and petrochemical trade under maximum pressure enforcement.","Sanctions to Combat Illicit Traders of Iranian Oil and the Shadow Fleet (Press Statement): Sanctions entities, individuals, and vessels engaged in illicit Iranian oil and petrochemical trade under maximum pressure enforcement.",5,High
4/15/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Foreign Affairs Council focused on the situation in Eastern Ukraine,The Council decided to strengthen sanctions against persons responsible for misappropriating Ukrainian state funds and targeted additional individuals under the assets freeze and travel ban.,Foreign Affairs Council focused on the situation in Eastern Ukraine: The Council decided to strengthen sanctions against persons responsible for misappropriating Ukrainian state funds and targeted additional individuals under the assets freeze and travel ban.,2,Medium
5/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Agreement on a new set of sanctions,"In light of events in Eastern Ukraine and the illegal confiscation of entities in Crimea, the Council agreed on a new set of sanctions and took note of the preparatory work done by the Commission and Member States on possible targeted measures, as requested by the European Council in March.","Agreement on a new set of sanctions: In light of events in Eastern Ukraine and the illegal confiscation of entities in Crimea, the Council agreed on a new set of sanctions and took note of the preparatory work done by the Commission and Member States on possible targeted measures, as requested by the European Council in March.",2,Medium
6/23/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Import ban on goods from Crimea,The Council adopted measures to implement the EU's policy of non-recognition of the illegal annexation of Crimea and decided on a ban on goods originating from Crimea or Sevastopol.,Import ban on goods from Crimea: The Council adopted measures to implement the EU's policy of non-recognition of the illegal annexation of Crimea and decided on a ban on goods originating from Crimea or Sevastopol.,4,High
6/26/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council conclusions,EU leaders set out four specific steps to be taken by Russia and the separatists for de-escalation. They also signed the Association Agreement with Ukraine.,European Council conclusions: EU leaders set out four specific steps to be taken by Russia and the separatists for de-escalation. They also signed the Association Agreement with Ukraine.,1,Low
7/16/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,EU leaders regretted that Russia and the separatists had not taken the requested steps set out in the June European Council conclusions. They agreed to target Russia with a new set of 6 restrictive measures including restriction on economic cooperation with Russia.,Special meeting of the European Council: EU leaders regretted that Russia and the separatists had not taken the requested steps set out in the June European Council conclusions. They agreed to target Russia with a new set of 6 restrictive measures including restriction on economic cooperation with Russia.,1,Low
7/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Ukraine crisis: EU broadens remit of sanctions,The Council widened the legal basis for EU restrictive measures making it possible to target entities which materially or financially support actions against Ukraine.,Ukraine crisis: EU broadens remit of sanctions: The Council widened the legal basis for EU restrictive measures making it possible to target entities which materially or financially support actions against Ukraine.,1,Low
7/22/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Council takes action following the downing of flight MH17,"EU ministers discussed the situation in Ukraine following the downing of flight MH17. They asked to finalise preparatory work for economic sanctions in four sectors, paving the way for their adoption.","Council takes action following the downing of flight MH17: EU ministers discussed the situation in Ukraine following the downing of flight MH17. They asked to finalise preparatory work for economic sanctions in four sectors, paving the way for their adoption.",5,High
7/25/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further EU sanctions over situation in Eastern Ukraine,The Council adopted reinforced EU sanctions. The Council's Committee of Permanent Representatives (Coreper) also discussed the preparatory work on further targeted measures.,Further EU sanctions over situation in Eastern Ukraine: The Council adopted reinforced EU sanctions. The Council's Committee of Permanent Representatives (Coreper) also discussed the preparatory work on further targeted measures.,1,Low
7/29/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Adoption of additional restrictive measures against Russia,"Following the conclusions of the European Council meeting of 16 July, the Council adopted a package of targeted 'economic sanctions'. These measures concern exchanges with Russia in specific economic sectors.","Adoption of additional restrictive measures against Russia: Following the conclusions of the European Council meeting of 16 July, the Council adopted a package of targeted 'economic sanctions'. These measures concern exchanges with Russia in specific economic sectors.",5,High
8/30/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Special meeting of the European Council,"Following the dramatic escalation of the situation, with the presence and actions of Russian armed forces on the Ukrainian territory, the European Council asked for the preparation of new economic sanctions against Russia.","Special meeting of the European Council: Following the dramatic escalation of the situation, with the presence and actions of Russian armed forces on the Ukrainian territory, the European Council asked for the preparation of new economic sanctions against Russia.",5,High
9/12/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Further economic sanctions on Russia,"A new package of restrictive measures targeting exchanges with Russia in specific economic sectors entered into force, reinforcing the measures adopted on 31 July.","Further economic sanctions on Russia: A new package of restrictive measures targeting exchanges with Russia in specific economic sectors entered into force, reinforcing the measures adopted on 31 July.",5,High
11/17/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,New sanctions under consideration,Ukraine was the main focus of the Foreign Affairs Council. EU ministers asked the European External Action Service (EEAS) and the European Commission to present a proposal on further sanctions against separatists.,New sanctions under consideration: Ukraine was the main focus of the Foreign Affairs Council. EU ministers asked the European External Action Service (EEAS) and the European Commission to present a proposal on further sanctions against separatists.,1,Low
11/28/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU strengthens sanctions against separatists in Eastern Ukraine,"As requested by the Foreign Affairs Council of 17 November, an asset freeze and an EU travel ban were imposed to 13 persons and five entities involved in action against Ukraine's territorial integrity. This decision brought the total of persons subject to EU sanctions over Ukraine's territorial integrity to 132 and the number of entities under EU asset freeze to 28.","EU strengthens sanctions against separatists in Eastern Ukraine: As requested by the Foreign Affairs Council of 17 November, an asset freeze and an EU travel ban were imposed to 13 persons and five entities involved in action against Ukraine's territorial integrity. This decision brought the total of persons subject to EU sanctions over Ukraine's territorial integrity to 132 and the number of entities under EU asset freeze to 28.",1,Low
12/18/2014,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,European Council focused on the eastern neighbourhood,"EU leaders discussed the situation on the eastern borders of Europe, support to Ukraine and relations with Russia. They welcomed the strengthening of the sanctions on investment, services and trade with Crimea and Sevastopol.","European Council focused on the eastern neighbourhood: EU leaders discussed the situation on the eastern borders of Europe, support to Ukraine and relations with Russia. They welcomed the strengthening of the sanctions on investment, services and trade with Crimea and Sevastopol.",2,Medium
