DATE,COUNTRY,SOURCE,HEADLINE,SUMMARY,TEXT,IMPACT SCORE,IMPACT LEVEL
6/22/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended EU economic sanctions until 31 January 2016. These sanctions were introduced in response to Russia's destabilising role in Eastern Ukraine. They target certain exchanges with Russia in the financial, energy and defence sectors and dual-use goods.","Extension of economic sanctions: The Council extended EU economic sanctions until 31 January 2016. These sanctions were introduced in response to Russia's destabilising role in Eastern Ukraine. They target certain exchanges with Russia in the financial, energy and defence sectors and dual-use goods.",5,High
9/14/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 March 2016 the application of EU restrictive measures targeting action against Ukraine's territorial integrity, sovereignty and independence. 149 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 March 2016 the application of EU restrictive measures targeting action against Ukraine's territorial integrity, sovereignty and independence. 149 persons and 37 entities are subject to asset freeze and travel bans under these sanctions.",2,Medium
10/5/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended the asset freeze for one person covered by measures applying until 6 October 2015.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended the asset freeze for one person covered by measures applying until 6 October 2015.,2,Medium
12/21/2015,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged EU economic sanctions against Russia until 31 July 2016. In March 2015, EU leaders decided to align the existing sanctions regime to the complete implementation of the Minsk agreements, which was foreseen for the end of December 2015. Since the Minsk agreements will not be fully implemented by 31 December 2015, the duration of the sanctions has been prolonged whilst the Council continues its assessment of progress in implementation.","Extension of economic sanctions: The Council prolonged EU economic sanctions against Russia until 31 July 2016. In March 2015, EU leaders decided to align the existing sanctions regime to the complete implementation of the Minsk agreements, which was foreseen for the end of December 2015. Since the Minsk agreements will not be fully implemented by 31 December 2015, the duration of the sanctions has been prolonged whilst the Council continues its assessment of progress in implementation.",5,High
3/4/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended by one year asset freezes against 16 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended by one year asset freezes against 16 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,2,Medium
3/10/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over action against Ukraine's territorial integrity,"The Council extended until 15 September 2016 EU restrictive measures against 146 people and 37 companies, in view of the continuing undermining or threatening of the territorial integrity, sovereignty and independence of Ukraine.","Extension of EU sanctions over action against Ukraine's territorial integrity: The Council extended until 15 September 2016 EU restrictive measures against 146 people and 37 companies, in view of the continuing undermining or threatening of the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
6/17/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2017. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2017. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,2,Medium
7/1/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 January 2017. In July 2016, having assessed the implementation of the Minsk agreements, the Council decided to renew the sanctions for a further six months.","Extension of economic sanctions: The Council prolonged the economic sanctions targeting specific sectors of the Russian economy until 31 January 2017. In July 2016, having assessed the implementation of the Minsk agreements, the Council decided to renew the sanctions for a further six months.",5,High
11/9/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds six members of the State Duma from Crimea to sanctions list,"The EU added six members of the Russian Federation State Duma elected from the illegally annexed Autonomous Republic of Crimea and the city of Sevastopol to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.","EU adds six members of the State Duma from Crimea to sanctions list: The EU added six members of the Russian Federation State Duma elected from the illegally annexed Autonomous Republic of Crimea and the city of Sevastopol to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.",2,Medium
12/19/2016,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,"The Council extended the application of economic sanctions targeting specific sectors of the Russian economy, until 31 July 2017. This was decided following the European Council meeting on 15 December 2016, where the leaders assessed the progress in implementing the Minsk agreements and paved the way for a further extension of sanctions.","Extension of economic sanctions: The Council extended the application of economic sanctions targeting specific sectors of the Russian economy, until 31 July 2017. This was decided following the European Council meeting on 15 December 2016, where the leaders assessed the progress in implementing the Minsk agreements and paved the way for a further extension of sanctions.",5,High
3/3/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2018 the asset freezes against 15 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended until 6 March 2018 the asset freezes against 15 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds.,2,Medium
3/13/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2017, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 37 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 September 2017, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 37 entities.",2,Medium
6/19/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2018. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2018. The measures apply to EU persons and EU based companies. They are limited to the territory of Crimea and Sevastopol.,2,Medium
6/28/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 22-23 June 2017 on the implementation of the Minsk Agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 22-23 June 2017 on the implementation of the Minsk Agreements.,5,High
8/4/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 3 persons and 3 companies to sanctions list,"The EU has added 3 Russian nationals and 3 companies involved in the transfer of gas turbines to Crimea to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.","EU adds 3 persons and 3 companies to sanctions list: The EU has added 3 Russian nationals and 3 companies involved in the transfer of gas turbines to Crimea to the list of persons subject to restrictive measures in respect of actions undermining Ukraine's territorial integrity, sovereignty and independence.",5,High
9/14/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 March 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The restrictive measures now apply to 149 persons and 38 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 March 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The restrictive measures now apply to 149 persons and 38 entities.",2,Medium
11/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,"""Governor of Sevastopol"" added to sanctions list over actions against Ukraine's territorial integrity","The Council added Dmitry Vladimirovich Ovsyannikov, ""Governor of Sevastopol"", to the list of those submitted to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. The restrictive measures now apply to 150 persons and 38 entities.","""Governor of Sevastopol"" added to sanctions list over actions against Ukraine's territorial integrity: The Council added Dmitry Vladimirovich Ovsyannikov, ""Governor of Sevastopol"", to the list of those submitted to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine. The restrictive measures now apply to 150 persons and 38 entities.",2,Medium
12/21/2017,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 14 December 2017 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2018. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 14 December 2017 on the state of implementation of the Minsk agreements.,5,High
3/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over misappropriation of Ukrainian state funds,The Council extended until 6 March 2019 the asset freezes against 13 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended. This decision was based on the annual review of the measures.,Extension of EU sanctions over misappropriation of Ukrainian state funds: The Council extended until 6 March 2019 the asset freezes against 13 people identified as responsible for the misappropriation of Ukrainian state funds or for the abuse of office causing a loss to Ukrainian public funds. The restrictive measures against two persons were not extended. This decision was based on the annual review of the measures.,2,Medium
3/12/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of EU sanctions over actions against Ukraine's territorial integrity,"The Council prolonged for a further six months, until 15 September 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 38 entities.","Extension of EU sanctions over actions against Ukraine's territorial integrity: The Council prolonged for a further six months, until 15 September 2018, the application of sanctions targeting actions against Ukraine's territorial integrity, sovereignty and independence. The measures consist of asset freezes and a travel ban applying to 150 people and 38 entities.",2,Medium
5/14/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds five people involved in the organisation of Russian presidential elections to sanctions list,"The EU has added five people to the sanction list for their involvement in the organisation of Russian presidential elections in illegally annexed Crimea and Sevastopol. Thereby these individuals actively supported and implemented policies that undermine the territorial integrity, sovereignty and independence of Ukraine.","EU adds five people involved in the organisation of Russian presidential elections to sanctions list: The EU has added five people to the sanction list for their involvement in the organisation of Russian presidential elections in illegally annexed Crimea and Sevastopol. Thereby these individuals actively supported and implemented policies that undermine the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
6/18/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol,The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2019.,Extension of sanctions in response to the illegal annexation of Crimea and Sevastopol: The Council extended the restrictive measures in response to the illegal annexation of Crimea and Sevastopol by Russia until 23 June 2019.,2,Medium
7/5/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 28-29 June 2018 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 January 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 28-29 June 2018 on the state of implementation of the Minsk agreements.,5,High
7/31/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds 6 entities involved in the construction of the Kerch Bridge to sanctions list,"The EU added six entities to the sanctions list because of their involvement in the construction of the Kerch Bridge, connecting Russia to the illegally annexed Crimean peninsula. Through their actions they supported the consolidation of Russia's control over the illegally annexed Crimean peninsula, which in turn further undermines the territorial integrity, sovereignty and independence of Ukraine.","EU adds 6 entities involved in the construction of the Kerch Bridge to sanctions list: The EU added six entities to the sanctions list because of their involvement in the construction of the Kerch Bridge, connecting Russia to the illegally annexed Crimean peninsula. Through their actions they supported the consolidation of Russia's control over the illegally annexed Crimean peninsula, which in turn further undermines the territorial integrity, sovereignty and independence of Ukraine.",2,Medium
9/13/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU extends sanctions over action against Ukraine's territorial integrity,"The Council has extended the EU restrictive measures for a further six months, until 15 March 2019. The measures consist of asset freezes and travel restrictions. They currently apply to 155 persons and 44 entities.","EU extends sanctions over action against Ukraine's territorial integrity: The Council has extended the EU restrictive measures for a further six months, until 15 March 2019. The measures consist of asset freezes and travel restrictions. They currently apply to 155 persons and 44 entities.",2,Medium
12/10/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,EU adds nine people to sanctions list for their involvement in the so-called elections of 11 November 2018,"The Council added nine persons involved in the so-called ""elections"" 11 November 2018, which the EU considers as illegal and illegitimate, to the list of those subject to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine","EU adds nine people to sanctions list for their involvement in the so-called elections of 11 November 2018: The Council added nine persons involved in the so-called ""elections"" 11 November 2018, which the EU considers as illegal and illegitimate, to the list of those subject to restrictive measures over actions undermining or threatening the territorial integrity, sovereignty and independence of Ukraine",1,Low
12/21/2018,Russia,https://www.consilium.europa.eu/en/policies/sanctions-against-russia/timeline-sanctions-against-russia/,Extension of economic sanctions,The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 13-14 December 2018 on the state of implementation of the Minsk agreements.,Extension of economic sanctions: The Council prolonged economic sanctions targeting specific sectors of the Russian economy until 31 July 2019. This decision follows an update from President Macron and Chancellor Merkel to the European Council of 13-14 December 2018 on the state of implementation of the Minsk agreements.,5,High
